instance	campaign	src_bytes	min_bytes	turns	src_sha256
caddyserver__caddy-6288	ML_typeid	52371808	89314	175	164cbddf9054a3938b0d02b555a8f8ff2f0be20267552b638452f6312fe9f590
caddyserver__caddy-6345	ML_typeid	34953517	96387	121	c56756595c87f092d96f339e293a480121efea19ec139b93397cf2ef028ea726
caddyserver__caddy-6350	ML_typeid	57708682	123527	133	e9518d12b4fb2b81227ab0dc6086f59a974f76f1860ed33b2ae5de85e7756951
caddyserver__caddy-6370	ML_typeid	9363903	69800	70	e29c4aaadeb4330ffb6d66e297e93142c44e5419ba320b3a154df9f7ca93ecf0
caddyserver__caddy-6411	ML_typeid	20119839	58517	86	e16df0baa5b94e9e032aa486538e579067239cd260503333392107072db553a5
facebook__docusaurus-10130	ML_typeid	12685871	62958	77	8382a4e78d86341262cc1c2e35932b480e4e7806b82df638c9d96acb98cbe7fb
facebook__docusaurus-10309	ML_typeid	170094158	203436	335	e6cbd1b570af83e67d984f6b5be512346b41e0b412e94f04ff9579d7229c77b4
facebook__docusaurus-8927	ML_typeid	14902277	60792	84	18846e306ee42ce6f1677aedff69856f2c8f8f0fc853388f7e85166f6c9bd782
facebook__docusaurus-9183	ML_typeid	25698971	87113	130	6668b0e17fda05c987040b758882ab019f17c6dfd1dc4c12771689466e3497bf
facebook__docusaurus-9897	ML_typeid	13389540	63872	93	08ac3c4b22285375b2eab63c7fb7e92500cfbffbb7c0a575f16218812a023b04
faker-ruby__faker-2705	ML_typeid	10195290	51750	66	7d6fe4213d178c1dc28a163991b3338fbaad4869cb880329253ea44a6efe634b
faker-ruby__faker-2970	ML_typeid	24056328	99283	122	d77d4544c4d6b0e1c2338e268db72219979eb6712f94b847a2bb9d80ae88cbda
fastlane__fastlane-19207	ML_typeid	61508028	162027	186	34f8e3e134a7e4e442901c68c2b1950c1497da37fe087b8fa36951b31cfe7986
fastlane__fastlane-19304	ML_typeid	2554795	49785	32	46940667acf881b8a3255b9f8e7f681d6caa9d461d97e3c0b72521e8b51c0900
fastlane__fastlane-19765	ML_typeid	9787742	55596	68	5cd645f5521f008197f46d9e321784a65fc683d182fe3d64fce04d2c9cd369eb
fastlane__fastlane-20642	ML_typeid	11221619	84325	69	6bf5017e397277a90188c865d9b1dc7266c642000d9d370f5a7668240175c486
fastlane__fastlane-20958	ML_typeid	11808363	81526	69	c6c29bbb0b6fc04a1126d821a2a22009fdf7e293794cdb51ad0aa51d99043b93
fastlane__fastlane-20975	ML_typeid	70953541	91486	215	14314828d243c5bcfd441cb7e3dc5d20d1e93f7323a2ce2efbbbaf2f8902e1be
fastlane__fastlane-21857	ML_typeid	13860901	73741	78	456efde023c1ff1a17021ccf286b99959bd48fdc4600f310fbb4ac5988dc9196
fluent__fluentd-3328	ML_typeid	50990016	199359	152	079430e14e9222043a4878683a7f27e60af49ed6417d646acc54f2d5232a4cf0
fluent__fluentd-3466	ML_typeid	37245635	77112	153	6cdfbb6066e1f7133e49483edba8a03df1d98b0678f29e2a9bbc63346f628d8e
fluent__fluentd-3608	ML_typeid	23520148	80402	114	126f109ca1f04e7e547a2728e165175a2e6f211519532f9a4f8a1fee28bb0037
fluent__fluentd-3616	ML_typeid	8782017	51639	65	c11576747497f6c884c330c6e3aec81dd07b167b85f0aa130e0bcf1be823e478
fluent__fluentd-3631	ML_typeid	15976966	66109	83	0c703f65cbd5c9a6e0b4ead70f75bcab10ea2361c0164c628383412e5f2fed0e
fluent__fluentd-3640	ML_typeid	13040778	99665	82	ff1c0344bf1057e037edbd736d79c2e72772fe57d19a01643b824107c990a170
fluent__fluentd-3641	ML_typeid	12207314	78453	78	a35c7e17327d22bddeb0a4cfcd703d58e57167abc9c4c3dcaa5a5e4816819033
