win	group	t_start	t_end	alive_after
092	fpbr	1785348438.704528	1785348443.727910	1
093	cache	1785348443.730738	1785348448.754342	1
094	fe	1785348448.756993	1785348453.780991	1
095	dram_bw	1785348453.783469	1785348458.805889	1
096	fpbr	1785348458.812261	1785348463.834903	1
097	dram_bw	1785348463.837397	1785348468.859056	1
098	mlp	1785348468.861592	1785348473.882048	1
099	cache	1785348473.884612	1785348478.908013	1
100	fe	1785348478.910537	1785348483.935094	1
101	core_ports	1785348483.937779	1785348488.961196	1
102	priv	1785348488.964162	1785348493.986259	1
103	fe_lat	1785348493.989272	1785348499.012557	1
104	fe	1785348499.018686	1785348504.043439	1
105	fe_lat	1785348504.046263	1785348509.070119	1
106	fpbr	1785348509.073000	1785348514.095295	1
107	core_ports	1785348514.097976	1785348519.121847	1
108	mlp	1785348519.124312	1785348524.145008	1
109	cache	1785348524.147875	1785348529.183410	1
110	priv	1785348529.186048	1785348534.208004	1
111	dram_bw	1785348534.210733	1785348539.232272	1
112	cache	1785348539.238088	1785348544.262887	1
113	fpbr	1785348544.265541	1785348549.288030	1
114	dram_bw	1785348549.290559	1785348554.312985	1
115	mlp	1785348554.315777	1785348559.336211	1
116	fe_lat	1785348559.338897	1785348564.362390	1
117	core_ports	1785348564.365085	1785348569.388995	1
118	fe	1785348569.391835	1785348574.416483	1
119	priv	1785348574.419181	1785348579.441668	1
120	fe	1785348579.447827	1785348584.471446	1
121	core_ports	1785348584.474169	1785348589.497549	1
122	mlp	1785348589.500202	1785348594.522536	1
123	fe_lat	1785348594.525696	1785348599.551700	1
124	fpbr	1785348599.554350	1785348604.578543	1
125	dram_bw	1785348604.581301	1785348609.602639	1
126	priv	1785348609.605696	1785348614.627828	1
127	cache	1785348614.630539	1785348619.654303	1
128	fpbr	1785348619.660247	1785348624.684792	1
129	mlp	1785348624.687612	1785348629.709007	1
130	cache	1785348629.711923	1785348634.736547	1
131	fe_lat	1785348634.739440	1785348639.763604	1
132	priv	1785348639.766431	1785348644.789704	1
133	fe	1785348644.792565	1785348649.817713	1
134	core_ports	1785348649.820433	1785348654.844399	1
135	dram_bw	1785348654.847056	1785348659.869837	1
136	fpbr	1785348659.876245	1785348664.898975	1
137	cache	1785348664.901833	1785348669.925407	1
138	mlp	1785348669.928041	1785348674.949591	1
139	priv	1785348674.952424	1785348679.974361	1
140	fe	1785348679.976918	1785348685.000485	1
141	fe_lat	1785348685.003118	1785348690.035337	1
142	dram_bw	1785348690.038093	1785348695.060108	1
143	core_ports	1785348695.062799	1785348700.089471	1
144	dram_bw	1785348700.095555	1785348705.117615	1
145	core_ports	1785348705.120203	1785348710.144460	1
146	mlp	1785348710.147087	1785348715.167631	1
147	cache	1785348715.170271	1785348720.193616	1
148	priv	1785348720.196231	1785348725.219621	1
149	fe	1785348725.222120	1785348730.245227	1
150	fe_lat	1785348730.247789	1785348735.271371	1
151	fpbr	1785348735.273977	1785348740.296304	1
152	mlp	1785348740.303066	1785348740.318497	1
153	priv	1785348740.322431	1785348740.335095	1
154	cache	1785348740.337762	1785348740.352993	1
155	fe	1785348740.355532	1785348740.370616	1
156	fe_lat	1785348740.373147	1785348740.388813	1
157	dram_bw	1785348740.391715	1785348740.406440	1
158	fpbr	1785348740.409271	1785348740.424273	1
159	core_ports	1785348740.428361	1785348740.444676	1
160	fpbr	1785348740.450968	1785348740.465126	1
161	cache	1785348740.467997	1785348740.483750	1
162	dram_bw	1785348740.486228	1785348740.499432	1
163	mlp	1785348740.501920	1785348740.514705	1
164	fe_lat	1785348740.517514	1785348740.533372	1
165	fe	1785348740.535994	1785348740.551259	1
166	core_ports	1785348740.553873	1785348740.569430	1
167	priv	1785348740.572055	1785348740.584496	1
168	fe	1785348740.590511	1785348740.605271	1
169	priv	1785348740.607849	1785348740.619879	1
170	mlp	1785348740.622544	1785348740.638100	1
171	core_ports	1785348740.640922	1785348740.656602	1
172	cache	1785348740.659389	1785348740.674372	1
173	fe_lat	1785348740.676988	1785348740.692216	1
174	dram_bw	1785348740.694866	1785348740.708914	1
175	fpbr	1785348740.711461	1785348740.726250	1
176	fpbr	1785348740.732285	1785348740.747644	1
177	fe	1785348740.750153	1785348740.764549	1
178	mlp	1785348740.767028	1785348740.780553	1
179	fe_lat	1785348740.783081	1785348740.798625	1
180	cache	1785348740.801514	1785348740.816679	1
181	dram_bw	1785348740.819227	1785348740.833729	1
182	core_ports	1785348740.836413	1785348740.852116	1
183	priv	1785348740.854604	1785348740.866091	1
184	cache	1785348740.871687	1785348740.885940	1
185	priv	1785348740.888344	1785348740.899398	1
186	fe	1785348740.901918	1785348740.915827	1
187	fpbr	1785348740.918221	1785348740.931682	1
188	mlp	1785348740.934039	1785348740.949275	1
189	dram_bw	1785348740.951899	1785348740.965877	1
190	fe_lat	1785348740.968370	1785348740.982874	1
191	core_ports	1785348740.985311	1785348740.999545	1
192	fpbr	1785348741.005316	1785348741.018269	1
193	dram_bw	1785348741.020639	1785348741.034248	1
194	fe_lat	1785348741.036730	1785348741.053199	1
195	cache	1785348741.055803	1785348741.070255	1
196	mlp	1785348741.072847	1785348741.085915	1
197	fe	1785348741.088403	1785348741.102538	1
198	priv	1785348741.105103	1785348741.116943	1
199	core_ports	1785348741.119322	1785348741.134547	1
200	fpbr	1785348741.140454	1785348741.155775	0
