task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
sympy,run_2,180.17295788,harness,39.18,6.12,15.22,41.27,4.49,10.74,33.56,7.7,1.58,4.51
sympy,run_2,180.17295788,tool,26.26,16.69,32.53,24.84,17.25,15.27,15.06,9.79,2.84,16.12
sympy,run_2,190.183902197,harness,37.21,5.98,14.37,42.32,4.4,9.97,35.36,6.96,1.58,4.39
sympy,run_2,190.183902197,tool,26.61,16.32,32.72,24.64,17.35,15.37,15.01,9.63,2.82,15.74
sympy,run_2,200.193960957,harness,39.61,6.34,15.87,39.17,4.77,11.09,32.06,7.11,1.96,5.13
sympy,run_2,200.193960957,tool,26.84,16.41,32.82,24.17,17.47,15.35,14.66,9.51,2.83,15.81
sympy,run_2,210.20496004,harness,35.76,6.33,15.71,43.27,4.77,10.93,36.11,7.16,1.97,5.15
sympy,run_2,210.20496004,tool,26.45,16.35,32.55,24.05,17.35,15.2,15.19,8.87,2.86,15.77
sympy,run_2,220.214958241,harness,40.04,6.7,15.45,40.97,3.63,11.82,33.42,7.55,1.21,4.76
sympy,run_2,220.214958241,tool,26.7,16.57,32.8,24.16,17.47,15.33,14.68,9.48,2.81,15.96
sympy,run_2,230.22496137,harness,37.27,6.72,15.3,42.33,3.6,11.7,35.55,6.77,1.2,4.75
sympy,run_2,230.22496137,tool,26.8,16.46,32.92,24.09,17.53,15.39,14.61,9.48,2.81,15.86
sympy,run_2,240.234967326,harness,39.38,6.37,14.23,38.34,4.43,9.79,31.37,6.97,1.98,4.44
sympy,run_2,240.234967326,tool,26.92,16.29,32.72,23.74,17.35,15.36,14.81,8.93,2.82,15.69
sympy,run_2,250.244958669,harness,40.27,5.59,15.79,40.44,4.0,11.79,32.94,7.5,1.2,4.43
sympy,run_2,250.244958669,tool,26.99,16.5,32.66,23.95,17.34,15.32,14.6,9.34,2.82,15.88
sympy,run_2,260.255310376,harness,40.07,6.37,15.81,38.3,4.0,11.81,30.95,7.36,2.36,4.01
sympy,run_2,260.255310376,tool,26.29,16.44,33.26,24.32,17.84,15.43,14.76,9.55,2.82,15.85
sympy,run_2,265.771827474,harness,35.27,6.81,12.74,45.66,4.42,8.32,37.48,8.18,1.59,4.43
sympy,run_2,265.771827474,tool,27.12,17.18,32.63,22.95,17.22,15.41,13.77,9.18,2.83,16.52
sympy,run_3,10.009864258,harness,24.77,18.82,39.19,17.3,27.42,11.78,11.66,5.63,1.53,17.81
sympy,run_3,10.009864258,tool,29.65,18.2,32.01,20.12,16.91,15.1,11.78,8.35,2.74,17.25
sympy,run_3,20.019872312,harness,37.06,11.26,20.06,30.74,10.96,9.1,24.69,6.05,1.12,9.9
sympy,run_3,20.019872312,tool,25.77,19.49,35.91,18.93,20.55,15.36,10.86,8.07,2.67,18.81
sympy,run_3,30.030862637,harness,41.79,9.69,17.17,32.08,7.17,10.0,25.85,6.23,1.96,8.4
sympy,run_3,30.030862637,tool,25.55,19.65,35.92,24.74,20.5,15.42,13.62,11.12,2.7,19.02
sympy,run_3,40.034369212,harness,42.13,8.93,15.51,32.95,6.26,9.26,26.85,6.1,1.4,7.67
sympy,run_3,40.034369212,tool,24.73,18.47,32.69,24.67,17.59,15.11,14.95,9.72,2.69,17.76
sympy,run_3,50.043863609,harness,41.09,7.98,15.36,35.4,5.31,10.05,29.89,5.51,1.33,6.42
sympy,run_3,50.043863609,tool,25.98,18.18,33.41,23.13,18.15,15.26,13.83,9.3,2.72,17.46
sympy,run_3,60.053866199,harness,38.05,7.53,13.0,42.91,4.8,8.19,35.64,7.27,1.24,5.96
sympy,run_3,60.053866199,tool,26.35,17.81,33.37,22.93,18.05,15.32,13.39,9.54,2.86,17.07
sympy,run_3,70.064863392,harness,36.56,7.51,13.59,41.58,4.79,8.81,36.62,4.96,1.24,5.94
sympy,run_3,70.064863392,tool,26.61,17.63,33.41,23.03,18.17,15.24,13.33,9.7,2.89,16.87
sympy,run_3,80.074864552,harness,33.31,7.29,13.28,45.9,4.56,8.72,40.69,5.22,1.21,5.72
sympy,run_3,80.074864552,tool,26.04,17.55,33.72,22.77,18.38,15.33,13.61,9.16,2.9,16.82
sympy,run_3,90.085868098,harness,38.67,6.94,13.69,42.29,4.17,9.52,34.98,7.31,1.2,5.36
sympy,run_3,90.085868098,tool,26.4,17.38,33.28,23.39,18.05,15.23,13.86,9.53,2.89,16.63
sympy,run_3,100.095871499,harness,39.92,7.12,13.63,40.42,4.39,9.25,33.33,7.09,1.23,5.55
sympy,run_3,100.095871499,tool,26.69,17.52,33.07,23.37,17.82,15.25,13.91,9.46,2.88,16.74
sympy,run_3,110.105862101,harness,40.38,7.57,14.5,37.91,4.41,10.09,30.74,7.17,1.58,5.58
sympy,run_3,110.105862101,tool,26.78,17.48,33.18,23.03,17.93,15.25,13.59,9.44,2.88,16.69
sympy,run_3,120.116173338,harness,39.27,6.75,14.27,38.96,4.33,9.94,31.98,6.98,1.58,5.11
sympy,run_3,120.116173338,tool,26.6,17.16,33.39,23.26,18.16,15.24,13.79,9.47,2.91,16.4
sympy,run_3,130.125864552,harness,36.36,6.71,14.17,41.72,4.36,9.81,35.79,5.93,1.57,5.14
sympy,run_3,130.125864552,tool,26.83,17.3,33.13,23.18,17.91,15.22,13.74,9.44,2.9,16.51
sympy,run_3,140.135867781,harness,34.83,6.72,14.19,47.27,4.38,9.81,41.66,5.61,1.57,5.16
sympy,run_3,140.135867781,tool,26.57,17.45,33.25,23.13,17.99,15.27,13.66,9.47,2.89,16.7
sympy,run_3,150.146864636,harness,36.25,6.75,14.22,46.61,4.4,9.81,40.34,6.27,1.57,5.18
sympy,run_3,150.146864636,tool,26.46,17.17,32.85,23.68,17.62,15.24,14.19,9.49,2.9,16.45
sympy,run_3,160.156864894,harness,36.34,6.8,14.26,43.06,4.44,9.82,36.8,6.27,1.58,5.23
sympy,run_3,160.156864894,tool,26.66,17.45,33.65,22.99,18.23,15.42,13.28,9.71,2.89,16.6
sympy,run_3,170.166873957,harness,39.64,5.69,14.49,38.74,3.67,10.82,32.61,6.13,1.19,4.48
sympy,run_3,170.166873957,tool,27.33,17.39,33.11,22.81,17.94,15.17,13.18,9.64,2.92,16.48
sympy,run_3,180.178240201,harness,38.73,6.44,14.4,39.66,4.45,9.95,32.47,7.18,1.58,5.25
sympy,run_3,180.178240201,tool,26.76,17.66,32.81,23.41,17.37,15.43,13.91,9.5,2.89,16.96
