when	instance	language	mech	status	realized	mix	support	other_pct	steps	uniq_frac	longest_run	flags	wall_s	tool_cs_raw	tool_cs_corr	harness_cs	proxy_cs	magnitude_bin	witness_cov	tokens_sent	tokens_received	api_calls	exit_status	detail
2026-08-12.15:24:03	laravel__framework-53696	PHP	I	classified	S	S=62% E=5% T=33% B=0%	61	29.1	86	0.849	4	call-step-mismatch(94v86),mechanism-not-witnessed	501.8	2.93	2.93	8.06	2.11	below-floor	0.0	1416509	5834	94	submitted	
2026-08-12.15:31:54	fluent__fluentd-4311	Ruby	I	classified	S	S=97% E=0% T=3% B=0%	74	7.5	80	0.825	12	E7-consecutive-loop,call-step-mismatch(83v80)	330.1	5.09	5.09	5.71	1.62	below-floor	0.009	1156913	14	82		
2026-08-12.15:41:03	sharkdp__bat-2650	Rust	A	classified	S	S=65% E=8% T=28% B=0%	80	13.0	92	0.935	1		484.9	112.18	112.18	9.42	2.07	large	0.107	2628459	4185	92	submitted	
2026-08-12.15:57:48	redis__redis-11734	C	B	classified	S	S=84% E=4% T=4% B=7%	67	36.8	106	0.981	1		882.7	55.96	55.96	14.53	2.92	measurable	0.045	4733134	8537	106	submitted	
2026-08-12.16:14:26	gin-gonic__gin-3820	Go	A	classified	S	S=65% E=9% T=23% B=3%	69	23.3	90	0.867	3	call-step-mismatch(98v90)	940.9	28.17	28.17	10.01	2.64	measurable	0.008	2599269	6550	98	submitted	
2026-08-12.16:34:32	google__gson-2158	Java	J	classified	S	S=70% E=4% T=10% B=17%	113	26.6	154	0.786	13	E7-consecutive-loop,call-step-mismatch(167v154)	1000.7	192.88	192.88	33.86	5.1	large	0.038	6002447	21042	166		
2026-08-12.16:46:34	preactjs__preact-3454	JavaScript	N	classified	S	S=81% E=8% T=11% B=0%	72	16.3	86	0.919	1		593.1	29.69	29.69	8.65	2.1	measurable	0.024	3434328	3106	88	submitted	
2026-08-12.16:53:51	laravel__framework-53914	PHP	I	classified	S	S=64% E=4% T=32% B=0%	56	25.3	75	0.933	1	call-step-mismatch(79v75)	387.2	3.25	3.25	5.97	1.62	below-floor	0.001	1356334	3546	79	submitted	
2026-08-12.16:56:39	fluent__fluentd-4598	Ruby	I	classified	S	S=52% E=17% T=30% B=0%	23	14.8	27	0.852	1		117.2	4.16	4.16	1.08	0.36	below-floor	0.172	177568	919	29	submitted	
2026-08-12.17:17:59	sharkdp__bat-2835	Rust	A	classified	S	S=68% E=5% T=23% B=4%	158	17.3	191	0.953	1		1218.3	248.17	248.17	60.47	6.63	large	0.046	10176711	15913	192	submitted	
2026-08-12.17:34:24	redis__redis-12272	C	B	classified	S	S=85% E=6% T=0% B=9%	34	24.4	45	0.956	1		868.1	50.78	50.78	2.87	1.51	measurable	0.004	687203	6598	45	submitted	
2026-08-12.17:40:54	gin-gonic__gin-4003	Go	A	classified	S	S=77% E=9% T=9% B=6%	35	20.5	44	0.932	2	call-step-mismatch(48v44)	268.3	29.96	29.96	2.25	0.89	measurable	0.021	524952	2208	48	submitted	
2026-08-12.18:23:19	google__gson-2311	Java	J	classified	S	S=81% E=1% T=1% B=17%	84	18.4	103	0.971	2	call-step-mismatch(106v103)	2491.9	47.78	47.78	14.05	4.65	measurable	0.015	2341698	6790	105		
2026-08-12.18:37:39	preactjs__preact-3562	JavaScript	N	classified	S	S=89% E=10% T=1% B=0%	94	18.3	115	0.904	1		724.3	59.5	59.5	17.85	3.14	measurable	0.037	5576248	4994	116	submitted	
2026-08-12.18:43:05	laravel__framework-53949	PHP	I	classified	S	S=57% E=5% T=32% B=5%	37	22.9	48	0.812	2	mechanism-not-witnessed	213.7	4.2	0.56	2.45	0.86	below-floor	0.0	500040	2132	50	submitted	
2026-08-12.18:50:28	fluent__fluentd-4655	Ruby	I	classified	S	S=63% E=17% T=20% B=0%	46	23.3	60	0.933	1		394.5	7.79	7.79	4.05	1.27	below-floor	0.353	1459632	1916	60	submitted	
2026-08-12.19:09:42	sharkdp__bat-3108	Rust	A	classified	S	S=70% E=7% T=12% B=11%	127	19.6	158	0.968	1		1093.3	240.27	240.27	40.09	5.28	large	0.048	8324567	14220	158	submitted	
2026-08-12.19:26:19	redis__redis-12472	C	B	classified	S	S=99% E=0% T=0% B=1%	95	9.5	105	0.838	14	E7-consecutive-loop,call-step-mismatch(108v105)	780.4	11.03	11.03	13.23	2.94	measurable	0.001	2893209	379	107		
2026-08-12.19:56:20	gohugoio__hugo-12171	Go	A	classified	S	S=66% E=2% T=25% B=6%	155	8.3	169	0.935	2	call-step-mismatch(173v169)	1742.1	692.76	692.76	48.21	6.48	large	0.112	11808943	22925	173	submitted	
2026-08-12.20:12:32	google__gson-2479	Java	J	classified	S	S=88% E=2% T=4% B=5%	112	17.6	136	0.963	1		852.4	195.18	195.18	24.76	3.93	large	0.045	4952551	7653	137	submitted	
2026-08-12.20:36:56	preactjs__preact-3567	JavaScript	N	classified	S	S=97% E=2% T=1% B=0%	123	23.1	160	0.975	1		1332.9	125.77	125.77	43.17	5.56	large	0.045	13172238	15077	162	submitted	
2026-08-12.20:48:00	php-cs-fixer__php-cs-fixer-7635	PHP	I	classified	M	S=52% E=3% T=44% B=0%	63	28.4	88	0.864	6	call-step-mismatch(98v88)	551.4	18.41	18.41	9.62	2.31	measurable	0.03	3175343	11239	98	submitted	
2026-08-12.20:55:06	jekyll__jekyll-8047	Ruby	I	classified	S	S=78% E=15% T=7% B=0%	60	21.1	76	0.868	1		371.0	10.94	10.94	5.96	1.56	measurable	0.022	1437602	3259	77	submitted	
2026-08-12.21:14:09	sharkdp__bat-562	Rust	A	classified	S	S=65% E=4% T=21% B=10%	126	28.0	175	0.954	1		1085.6	128.28	128.28	47.75	5.73	large	0.048	9064045	18554	175	submitted	
2026-08-12.21:19:55	redis__redis-13115	C	B	classified	S	S=85% E=4% T=0% B=11%	27	37.2	43	0.977	1	call-step-mismatch(46v43)	223.9	32.91	32.91	2.09	0.8	measurable	0.093	608276	1589	46	submitted	
2026-08-12.22:02:28	gohugoio__hugo-12204	Go	A	classified	S	S=85% E=4% T=11% B=0%	204	3.8	212	0.962	1		2491.7	110.38	110.38	76.37	9.02	large	0.014	9236565	18363	213		
2026-08-12.22:14:08	javaparser__javaparser-4538	Java	J	classified	S	S=79% E=2% T=8% B=11%	53	24.3	70	0.929	1	call-step-mismatch(74v70)	576.3	167.03	167.03	5.53	1.78	large	0.044	813379	4627	74	submitted	
2026-08-12.22:23:35	preactjs__preact-3689	JavaScript	N	classified	S	S=80% E=13% T=7% B=0%	91	9.0	100	0.97	1		496.8	23.99	23.99	12.56	2.47	measurable	0.019	3651613	4095	102	submitted	
2026-08-12.22:39:03	php-cs-fixer__php-cs-fixer-7663	PHP	I	classified	S	S=96% E=0% T=4% B=0%	93	15.5	110	0.8	12	E7-consecutive-loop	790.5	2.45	2.45	13.2	2.93	below-floor	0.001	2359621	205	111		
2026-08-12.22:46:27	jekyll__jekyll-8167	Ruby	I	classified	M	S=49% E=3% T=42% B=6%	67	13.0	77	0.948	1		320.9	17.89	17.89	5.71	1.54	measurable	0.055	1136026	1659	79	submitted	
2026-08-12.23:02:43	tokio-rs__axum-1119	Rust	A	classified	S	S=67% E=8% T=16% B=8%	106	13.8	123	0.992	1		913.1	165.71	165.71	20.36	3.62	large	0.054	6193795	15239	124	submitted	
