when	instance	language	mech	status	realized	mix	support	other_pct	steps	uniq_frac	longest_run	flags	wall_s	tool_cs_raw	tool_cs_corr	harness_cs	proxy_cs	magnitude_bin	witness_cov	tokens_sent	tokens_received	api_calls	exit_status	detail
2026-08-10.17:22:45	jqlang__jq-2235	C	B	classified	S	S=88% E=5% T=2% B=5%	99	24.4	131	0.962	1		688.2	21.5	21.5	21.25	3.45	measurable	0.015	4649673	8450	132	submitted	
2026-08-10.17:35:22	fmtlib__fmt-1683	C++	B	classified	S	S=70% E=5% T=0% B=26%	82	16.3	98	0.949	1		712.0	109.29	109.29	10.44	2.45	large	0.07	2308087	6770	98	submitted	
2026-08-10.17:56:47	caddyserver__caddy-4774	Go	A	classified	S	S=71% E=10% T=16% B=4%	167	13.9	194	0.943	5	call-step-mismatch(202v194)	1225.9	221.91	221.91	66.47	7.14	large	0.064	13795307	14396	202	submitted	
2026-08-10.18:06:34	apache__druid-13704	Java	J	classified	S	S=87% E=2% T=0% B=11%	84	19.2	104	0.904	3	call-step-mismatch(108v104)	516.6	26.1	26.1	12.37	2.51	measurable	0.011	2778568	4905	108	submitted	
2026-08-10.18:23:03	axios__axios-4731	JavaScript	N	classified	S	S=65% E=8% T=28% B=0%	80	11.1	90	0.956	1		923.6	13.42	13.42	9.74	2.52	measurable	0.074	2933802	3836	90	submitted	
2026-08-10.18:54:42	briannesbitt__carbon-2665	PHP	I	classified	S	S=60% E=1% T=39% B=0%	96	34.7	147	0.83	13	E7-consecutive-loop,call-step-mismatch(164v147)	1671.2	7.12	7.12	34.57	6.09	below-floor	0.003	9068418	11645	163		
2026-08-10.19:08:02	faker-ruby__faker-2705	Ruby	I	classified	S	S=89% E=2% T=9% B=0%	55	16.7	66	0.985	1		746.3	28.47	28.47	5.5	1.91	measurable	0.035	2035837	4651	68	submitted	
2026-08-10.19:42:23	astral-sh__ruff-15309	Rust	A	classified	S	S=76% E=9% T=12% B=4%	198	8.3	216	0.958	1		1971.5	596.03	596.03	95.72	9.47	large	0.074	14345226	63083	217	submitted	
2026-08-10.19:51:14	facebook__docusaurus-10130	TypeScript	N	classified	S	S=79% E=3% T=17% B=0%	63	18.2	77	0.974	1		417.5	22.24	22.24	7.41	1.8	measurable	0.024	2374572	3574	77	submitted	
2026-08-10.20:02:20	jqlang__jq-2598	C	B	classified	S	S=89% E=2% T=0% B=9%	94	21.0	119	0.933	1		614.8	73.71	73.71	16.81	3.21	large	0.102	3070784	6324	121	submitted	
2026-08-10.20:14:01	fmtlib__fmt-2310	C++	B	classified	S	S=66% E=5% T=6% B=24%	88	11.1	99	0.939	1		651.3	96.98	96.98	11.33	2.67	large	0.142	2659155	5632	99	submitted	
2026-08-10.20:35:52	caddyserver__caddy-4943	Go	A	classified	S	S=77% E=2% T=11% B=9%	123	15.2	145	0.938	5	call-step-mismatch(153v145)	1264.1	180.2	180.2	35.54	5.22	large	0.026	8563315	12870	153	submitted	
2026-08-10.20:44:13	apache__druid-14092	Java	J	classified	S	S=89% E=4% T=4% B=2%	47	25.4	63	0.937	1		438.4	462.31	462.31	4.31	1.39	large	0.168	1148173	3509	65	submitted	
2026-08-10.20:53:52	axios__axios-4738	JavaScript	N	classified	S	S=62% E=10% T=28% B=0%	60	16.7	72	0.958	1		521.8	6.2	6.2	5.76	1.68	below-floor	0.147	1863849	5176	74	submitted	
2026-08-10.21:05:56	briannesbitt__carbon-2752	PHP	I	classified	M	S=50% E=1% T=49% B=0%	82	18.8	101	0.921	2	call-step-mismatch(104v101)	684.0	10.93	10.93	11.71	2.65	measurable	0.044	2121675	6031	104	submitted	
2026-08-10.21:19:31	faker-ruby__faker-2970	Ruby	I	classified	S	S=80% E=3% T=16% B=0%	91	25.4	122	0.951	2		767.4	124.02	124.02	19.65	3.4	large	0.157	3978210	10658	123	submitted	
2026-08-10.22:02:20	astral-sh__ruff-15330	Rust	A	classified	S	S=73% E=7% T=12% B=8%	88	9.3	97	0.959	1	call-step-mismatch(100v97)	2492.0	581.29	581.29	13.3	4.51	large	0.056	4039888	10439	99		
2026-08-10.22:36:37	facebook__docusaurus-10309	TypeScript	N	classified	S	S=92% E=0% T=8% B=0%	325	3.0	335	0.94	11		1951.4	14.69	14.69	278.88	17.03	measurable	0.001	28122982	18	336		
2026-08-10.23:17:28	jqlang__jq-2650	C	B	classified	T	S=9% E=0% T=91% B=0%	367	17.3	444	0.39	1	E7-cyclic-loop,mechanism-not-witnessed	2401.6	19.7	19.7	572.69	26.74	measurable	0.0	19858037	14	445		
2026-08-10.23:27:39	fmtlib__fmt-2317	C++	B	classified	S	S=68% E=6% T=5% B=22%	88	12.0	100	0.94	1		560.1	269.19	269.19	11.31	2.37	large	0.161	2965619	4795	101	submitted	
2026-08-10.23:49:28	caddyserver__caddy-5404	Go	A	classified	S	S=68% E=3% T=24% B=5%	76	16.5	91	0.934	3	call-step-mismatch(96v91)	1254.5	106.84	106.84	11.66	3.04	large	0.012	4682762	7857	96	submitted	
2026-08-11.00:05:45	apache__druid-14136	Java	J	classified	S	S=75% E=9% T=5% B=11%	109	21.0	138	0.957	2		918.6	765.25	765.25	25.58	4.13	large	0.124	5392222	8098	140	submitted	
2026-08-11.00:17:54	axios__axios-5085	JavaScript	N	classified	S	S=77% E=4% T=19% B=0%	73	13.1	84	0.952	1		674.7	7.98	7.98	8.7	2.17	below-floor	0.205	3370097	2931	85	submitted	
2026-08-11.00:26:17	briannesbitt__carbon-2762	PHP	I	classified	S	S=60% E=1% T=39% B=0%	92	4.2	96	0.865	14	E7-consecutive-loop,mechanism-not-witnessed	370.2	1.94	1.94	9.29	2.08	below-floor	0.0	1984057	91	97		
2026-08-11.00:49:06	fastlane__fastlane-19207	Ruby	I	classified	S	S=84% E=1% T=14% B=1%	143	23.1	186	0.887	12	E7-consecutive-loop	1230.8	21.81	21.81	56.49	6.6	measurable	0.009	11952025	1524	187		
2026-08-11.01:05:53	astral-sh__ruff-15356	Rust	A	classified	S	S=75% E=5% T=15% B=5%	100	13.0	115	0.922	2		914.4	599.49	599.49	17.79	3.46	large	0.146	4205565	9424	116	submitted	
2026-08-11.01:15:51	facebook__docusaurus-8927	TypeScript	N	classified	S	S=82% E=2% T=17% B=0%	66	21.4	84	0.94	1		491.0	29.65	29.65	7.92	1.97	measurable	0.022	2714234	3969	86	submitted	
2026-08-11.01:21:44	jqlang__jq-2658	C	B	classified	S	S=80% E=9% T=0% B=11%	56	24.3	74	0.973	1		307.7	19.14	19.14	5.57	1.45	measurable	0.036	1478740	2110	75	submitted	
2026-08-11.01:49:02	fmtlib__fmt-2457	C++	B	classified	S	S=61% E=7% T=0% B=31%	201	6.1	214	0.963	1		1590.9	119.84	119.84	85.36	8.27	large	0.069	17797347	20279	215	submitted	
2026-08-11.02:11:46	caddyserver__caddy-5626	Go	A	classified	S	S=76% E=3% T=15% B=6%	132	22.4	170	0.865	12	E7-consecutive-loop,call-step-mismatch(180v170)	1220.8	158.11	158.11	46.21	6.11	large	0.028	10234817	16938	179		
2026-08-11.02:35:35	apache__druid-15402	Java	J	classified	S	S=70% E=6% T=23% B=1%	142	15.5	168	0.905	7	call-step-mismatch(175v168)	1366.5	3379.54	3379.54	43.86	5.96	large	0.317	6817701	9988	175	submitted	
2026-08-11.03:05:42	axios__axios-5316	JavaScript	N	classified	S	S=89% E=5% T=6% B=0%	246	20.4	309	0.994	1	call-step-mismatch(312v309)	1750.0	16.88	16.88	232.42	15.5	measurable	0.056	18369826	449	312	submitted (exit_command_timeout)	
2026-08-11.03:25:11	briannesbitt__carbon-2981	PHP	I	classified	S	S=56% E=1% T=42% B=1%	140	11.4	158	0.949	2	call-step-mismatch(162v158)	1120.4	160.84	160.84	35.75	5.08	large	0.15	6282219	20575	162	submitted	
2026-08-11.03:29:21	fastlane__fastlane-19304	Ruby	I	classified	M	S=36% E=25% T=39% B=0%	28	12.5	32	0.906	1		201.1	11.61	11.61	1.41	0.54	measurable	0.048	430681	1529	34	submitted	
2026-08-11.03:45:26	astral-sh__ruff-15394	Rust	A	classified	S	S=75% E=8% T=11% B=6%	105	9.5	116	0.948	1		873.0	510.43	510.43	16.5	3.24	large	0.107	3536720	15575	118	submitted	
2026-08-11.03:59:10	facebook__docusaurus-9183	TypeScript	N	classified	S	S=87% E=5% T=9% B=0%	105	19.2	130	0.962	1		707.9	32.72	32.72	21.46	3.58	measurable	0.018	4143131	4577	131	submitted	
2026-08-11.04:11:04	jqlang__jq-2728	C	B	classified	S	S=78% E=16% T=0% B=6%	81	14.7	95	0.958	1		666.6	34.51	34.51	10.62	2.44	measurable	0.041	2608876	4308	96	submitted	
2026-08-11.04:35:30	fmtlib__fmt-3158	C++	B	classified	S	S=67% E=3% T=6% B=24%	133	17.9	162	0.957	1		1400.9	232.97	232.97	42.08	5.8	large	0.046	8711661	31822	163	submitted	
2026-08-11.05:06:34	caddyserver__caddy-5761	Go	A	classified	S	S=65% E=6% T=27% B=3%	116	25.2	155	0.884	12	E7-consecutive-loop,call-step-mismatch(167v155)	1721.3	111.89	111.89	41.56	6.34	large	0.012	13785214	13973	166		
2026-08-11.05:23:30	apache__druid-16875	Java	J	classified	S	S=88% E=1% T=3% B=8%	93	16.2	111	0.919	2	call-step-mismatch(118v111)	941.1	299.9	299.9	14.85	3.32	large	0.053	2989901	6785	118	submitted	
2026-08-11.05:39:38	axios__axios-5892	JavaScript	N	classified	S	S=67% E=8% T=25% B=0%	72	17.2	87	0.885	1		910.3	16.72	16.72	10.13	2.56	measurable	0.124	5103516	3157	88	submitted	
2026-08-11.06:06:04	briannesbitt__carbon-3005	PHP	I	classified	S	S=63% E=0% T=36% B=0%	216	14.3	252	0.964	2	call-step-mismatch(257v252)	1529.5	94.1	94.1	120.79	10.63	large	0.058	13052366	7542	257	submitted	
2026-08-11.06:48:25	fastlane__fastlane-19765	Ruby	I	classified	S	S=85% E=4% T=11% B=0%	47	30.9	68	0.956	1		2491.9	11.3	11.3	7.11	3.81	measurable	0.002	1818395	2188	69		
2026-08-11.06:56:00	astral-sh__ruff-15443	Rust	A	classified	S	S=68% E=8% T=18% B=6%	50	20.6	63	0.937	1	call-step-mismatch(66v63)	357.7	425.21	425.21	3.83	1.32	large	0.161	766263	1665	66	submitted	
2026-08-11.07:05:27	facebook__docusaurus-9897	TypeScript	N	classified	S	S=87% E=4% T=9% B=0%	76	18.3	93	0.946	1		457.7	31.74	31.74	9.24	2.16	measurable	0.028	2182058	3014	95	submitted	
2026-08-11.07:18:42	jqlang__jq-2750	C	B	classified	S	S=98% E=2% T=0% B=0%	59	63.1	160	0.875	13	E7-consecutive-loop,mechanism-not-witnessed	660.4	5.41	5.41	32.79	4.57	below-floor	0.0	4482670	650	161		
2026-08-11.07:32:30	fmtlib__fmt-3272	C++	B	classified	S	S=67% E=6% T=2% B=25%	99	12.4	113	0.982	1		784.8	72.09	72.09	16.61	3.19	large	0.077	4591920	14387	113	submitted	
2026-08-11.08:04:51	caddyserver__caddy-5870	Go	A	classified	S	S=67% E=12% T=15% B=5%	169	11.5	191	0.921	2	call-step-mismatch(201v191)	1887.1	195.32	195.32	70.62	8.51	large	0.018	16069021	23528	201	submitted	
2026-08-11.08:19:38	apache__lucene-11760	Java	J	classified	S	S=86% E=3% T=11% B=1%	76	24.0	100	0.91	1	call-step-mismatch(104v100)	822.8	224.15	224.15	11.62	2.87	large	0.769	2152258	4313	104	submitted	
2026-08-11.08:49:20	axios__axios-6539	JavaScript	N	classified	S	S=72% E=2% T=26% B=0%	127	12.4	145	0.966	1		1719.4	21.11	21.11	30.72	5.46	measurable	0.127	6513679	6844	146	submitted	
2026-08-11.09:12:45	briannesbitt__carbon-3041	PHP	I	classified	S	S=65% E=6% T=28% B=2%	180	11.3	203	0.98	1		1355.3	14.16	14.16	66.26	7.32	measurable	0.005	8372845	2046	205	submitted	
2026-08-11.09:29:23	fastlane__fastlane-20642	Ruby	I	classified	S	S=55% E=5% T=40% B=0%	62	10.1	69	0.928	1		939.7	27.56	27.56	5.71	2.04	measurable	0.025	2000909	5139	70	submitted	
2026-08-11.09:38:29	astral-sh__ruff-15543	Rust	A	classified	S	S=98% E=0% T=0% B=2%	54	0.0	54	0.796	12	E7-consecutive-loop	360.2	322.92	322.92	2.44	1.09	large	0.092	457721	14	55		
2026-08-11.09:55:16	immutable-js__immutable-js-2005	TypeScript	N	classified	S	S=61% E=11% T=28% B=0%	97	5.8	103	0.961	1		942.0	506.4	506.4	13.21	2.95	large	0.049	4105703	9637	105	submitted	
2026-08-11.10:37:44	jqlang__jq-2839	C	B	classified	S	S=96% E=1% T=3% B=0%	166	35.9	259	0.988	1	call-step-mismatch(262v259),mechanism-not-witnessed	2491.7	12.77	12.77	134.74	11.91	measurable	0.0	19497572	183	261		
2026-08-11.11:20:00	fmtlib__fmt-3729	C++	B	classified	S	S=57% E=13% T=2% B=27%	141	4.7	148	0.966	1		2491.7	228.08	228.08	31.93	6.06	large	0.029	7204117	19851	148		
2026-08-11.11:44:53	caddyserver__caddy-5995	Go	A	classified	S	S=74% E=5% T=17% B=5%	107	22.5	138	0.935	2	call-step-mismatch(141v138)	1425.6	157.81	157.81	29.1	4.98	large	0.013	8805612	23315	141	submitted	
2026-08-11.12:09:41	apache__lucene-12022	Java	J	classified	S	S=87% E=2% T=11% B=1%	104	18.8	128	0.945	2	call-step-mismatch(131v128)	1429.9	253.49	253.49	22.35	4.49	large	0.463	5229298	5346	131	submitted	
2026-08-11.12:32:48	babel__babel-13928	JavaScript	N	classified	S	S=61% E=3% T=35% B=0%	155	6.1	165	0.939	1		1312.5	354.12	354.12	50.39	6.27	large	0.066	10276238	10817	167	submitted	
2026-08-11.12:48:10	briannesbitt__carbon-3073	PHP	I	classified	S	S=69% E=1% T=30% B=0%	103	17.6	125	0.928	3	call-step-mismatch(133v125)	873.0	6.81	6.81	19.8	3.92	below-floor	0.005	3359582	7030	133	submitted	
2026-08-11.13:07:19	fastlane__fastlane-20958	Ruby	I	classified	S	S=55% E=14% T=30% B=0%	56	18.8	69	0.928	1		1094.0	26.4	26.4	6.48	2.4	measurable	0.02	1880457	6258	70	submitted	
2026-08-11.13:21:55	astral-sh__ruff-15626	Rust	A	classified	S	S=87% E=4% T=6% B=3%	108	8.5	118	0.992	1		776.7	444.74	444.74	16.74	3.31	large	0.089	2769549	3280	119	submitted	
2026-08-11.13:42:12	immutable-js__immutable-js-2006	TypeScript	N	classified	S	S=66% E=11% T=24% B=0%	123	11.5	139	0.978	1		1153.9	487.44	487.44	29.18	4.76	large	0.044	7228717	19906	141	submitted	
2026-08-11.13:54:14	jqlang__jq-2919	C	B	classified	S	S=81% E=8% T=2% B=9%	64	34.0	97	0.938	1		665.4	35.75	35.75	12.64	2.76	measurable	0.031	3251060	4980	97	submitted	
2026-08-11.14:08:28	fmtlib__fmt-3750	C++	B	classified	S	S=80% E=2% T=1% B=17%	95	12.8	109	0.963	1		802.1	183.18	183.18	15.18	3.26	large	0.088	3345676	7285	111	submitted	
2026-08-11.14:34:06	caddyserver__caddy-6051	Go	A	classified	S	S=70% E=2% T=24% B=4%	103	11.2	116	0.905	6	call-step-mismatch(123v116)	1489.1	191.47	191.47	18.58	4.17	large	0.031	5723133	8636	123	submitted	
2026-08-11.14:44:29	apache__lucene-12196	Java	J	classified	S	S=80% E=1% T=9% B=10%	70	17.6	85	0.906	1	call-step-mismatch(89v85)	564.0	153.98	153.98	8.27	2.13	large	0.744	1751171	4340	89	submitted	
2026-08-11.14:58:01	babel__babel-14532	JavaScript	N	classified	S	S=100% E=0% T=0% B=0%	113	1.7	115	0.878	12	E7-consecutive-loop,mechanism-not-witnessed	640.4	11.12	11.12	15.18	3.07	measurable	0.0	3125423	14	116		
2026-08-11.15:40:17	briannesbitt__carbon-3098	PHP	I	classified	S	S=92% E=0% T=8% B=0%	332	6.2	354	0.573	1		2401.7	10.23	10.23	303.83	18.7	measurable	0.001	18719395	730	355		
2026-08-11.15:59:57	fastlane__fastlane-20975	Ruby	I	classified	S	S=91% E=1% T=9% B=0%	164	23.7	215	0.949	1		1125.3	22.34	22.34	79.8	7.74	measurable	0.013	12032721	1050	217	submitted	
2026-08-11.16:29:39	burntsushi__ripgrep-2209	Rust	A	classified	S	S=79% E=3% T=15% B=3%	106	16.5	127	0.969	1		1632.1	85.12	85.12	23.69	4.69	large	0.009	6276408	15365	127	submitted	
2026-08-11.17:12:14	vuejs__core-11589	TypeScript	N	classified	S	S=60% E=16% T=24% B=0%	93	14.7	109	0.917	1		2491.9	194.84	194.84	17.88	8.49	large	0.012	4384603	11263	109		
