task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
babel,run_7,20.019934461,harness,41.99,12.51,22.65,23.41,12.25,10.4,17.91,5.5,0.79,11.32
babel,run_7,20.019934461,tool,30.81,14.63,33.31,23.07,16.87,16.44,13.88,9.19,3.26,14.04
babel,run_7,30.030256246,harness,47.42,11.79,19.36,21.85,7.43,11.93,16.36,5.49,1.46,10.23
babel,run_7,30.030256246,tool,32.24,15.13,39.76,14.52,22.62,17.14,8.6,5.92,2.91,14.57
babel,run_7,40.039943034,harness,35.87,10.66,16.3,38.3,5.92,10.38,32.32,5.98,1.28,9.48
babel,run_7,40.039943034,tool,33.19,14.24,37.91,16.25,20.79,17.12,10.11,6.14,2.87,13.55
babel,run_8,10.0095998,harness,27.37,17.89,39.08,15.72,25.87,13.22,10.29,5.43,1.38,16.83
babel,run_8,10.0095998,tool,34.07,10.12,31.46,24.85,14.52,16.94,15.1,9.75,3.41,9.67
babel,run_8,20.019593009,harness,41.41,13.22,22.48,24.24,11.08,11.41,18.72,5.52,1.28,11.56
babel,run_8,20.019593009,tool,29.99,15.57,33.99,21.48,17.34,16.65,13.01,8.48,3.22,15.07
babel,run_8,30.029926771,harness,49.17,11.87,20.26,22.52,8.53,11.73,17.57,4.95,1.89,10.31
babel,run_8,30.029926771,tool,32.51,15.13,39.5,14.53,22.31,17.19,8.84,5.69,2.89,14.6
babel,run_8,40.040260109,harness,37.18,10.65,16.57,37.97,6.93,9.64,32.54,5.43,1.14,9.93
babel,run_8,40.040260109,tool,32.58,13.49,38.42,16.49,21.19,17.23,10.69,5.8,2.99,13.0
babel,run_8,40.602263091,harness,12.17,10.2,8.87,69.54,4.14,4.73,59.36,10.19,0.79,9.81
babel,run_9,10.009816443,harness,28.72,18.18,37.7,15.76,24.69,13.01,10.07,5.69,1.18,17.03
babel,run_9,10.009816443,tool,33.62,9.93,32.01,24.68,15.15,16.86,15.27,9.41,3.48,9.53
babel,run_9,20.01981296,harness,42.57,13.5,23.06,22.28,11.13,11.92,16.42,5.86,1.36,11.55
babel,run_9,20.01981296,tool,30.4,14.85,34.35,21.45,17.71,16.64,12.45,9.0,3.25,14.32
babel,run_9,30.029816134,harness,47.13,11.17,18.95,22.05,7.82,11.14,15.99,6.06,1.58,9.17
babel,run_9,30.029816134,tool,32.33,14.94,39.61,14.53,22.21,17.39,8.9,5.63,3.09,14.42
babel,run_9,40.040583523,harness,36.51,10.02,14.71,38.13,5.83,8.89,31.82,6.31,1.56,9.07
babel,run_9,40.040583523,tool,31.8,13.84,39.39,16.71,21.93,17.46,10.32,6.39,3.06,13.49
