"fence","metric","grp","col","n","median","mean","p5","p95","max"
"harness","Branch MPKI","TypeScript","docusaurus-10130",165,5.654,10.0200278787879,0.9585,20.11624,20.7335
"harness","Branch MPKI","TypeScript","docusaurus-9897",189,5.3124,9.67056084656085,0.88166,20.18366,21.0804
"harness","Branch MPKI","TypeScript","immutable-js-2006",388,1.93335,7.906725,0.73457,20.25614,21.5011
"harness","Branch-direction MPKI","C","jq-2598",263,2.0857,5.5143897338403,0.60808,12.85874,13.7056
"harness","Branch-direction MPKI","C","micropython-13039",109,10.4778,7.7065871559633,1.00694,12.79486,13.0588
"harness","Branch-direction MPKI","C","redis-12272",99,7.7776,7.26454545454545,1.21315,12.74595,12.9325
"harness","Branch-direction MPKI","C++","fmt-2457",850,1.0393,3.45787882352941,0.39929,12.735175,13.6612
"harness","Branch-direction MPKI","C++","fmt-3750",249,2.5333,5.85479317269076,0.65324,12.78474,13.609
"harness","Branch-direction MPKI","C++","fmt-3901",83,8.2132,7.44873493975904,1.26904,12.71152,12.804
"harness","Branch-direction MPKI","C++","json-4237",267,2.3619,5.76672097378277,0.60654,12.83171,13.1184
"harness","Branch-direction MPKI","Go","caddy-4774",702,1.0823,3.95021196581197,0.42028,12.71284,13.4959
"harness","Branch-direction MPKI","Go","gin-2121",81,8.0136,7.55587407407407,1.3105,12.7351,13.0589
"harness","Branch-direction MPKI","Go","hugo-12579",135,4.4673,6.64436,0.90885,13.04064,13.4752
"harness","Branch-direction MPKI","Go","prometheus-10720",585,1.1199,4.46726478632479,0.41408,12.81908,13.6405
"harness","Branch-direction MPKI","Java","gson-1093",124,6.21375,6.96397903225806,0.97503,12.85687,13.5265
"harness","Branch-direction MPKI","Java","gson-2134",100,6.296,7.199051,1.024695,12.838845,13.3373
"harness","Branch-direction MPKI","Java","javaparser-4538",140,5.267,6.66313785714286,0.87119,12.847395,13.3359
"harness","Branch-direction MPKI","Java","lombok-3479",552,1.29735,4.58079583333333,0.429325,12.875005,13.6431
